Title,Score,STD_Score,,,,
This yar I rsolv to rplac th on my kyboard,55,0.267689899787649,,,,
Constipated people dont give a shit,58,0.37063781299832,,,,
"The doctor told us that my father hadn't made it, but it was the undertaker that really put the nail in the coffin.",18,-1.00200102981063,,,,
"when two vegetarians are arguing, is it still considered beef?",66,0.64516558156011,,,,
The discovery of static electricity was a shocking event,23,-0.830421174459509,,,,
Liquor? I don't even know her,20,-0.93336908767018,,,,
"I didn't know what to wear to my Premature Ejaculation Society meeting, so I just came in my pants.",165,4.04244671751226,,,,
"This spell is to supposed to make people skeptical, but i dont think it works.",41,-0.212733695195483,,,,
"Man, I've been hearing a lot of subluminal messages from the radio recently",22,-0.864737145529733,,,,
"If I had a dollar for every time a girl told me I was unattractive, they'd eventually find me attractive.",200,5.24350570497008,,,,
"I dont always roll a joint, but when I do its usually my ankle",78,1.05695723440279,,,avg,stdev
"I'm going for my HIV test tomorrow, feeling pretty positive.",48,0.027478102296083,,,47.1992619926199,29.1409500827942
"I should probably sell my vacuum cleaner, it's just sitting around collecting dust.",77,1.02264126333257,,,,
"If I had known the difference between antidote and anecdote, my best friend would be alive today",39,-0.28136563733593,,,,
"I am really good at sleeping, I could do it with my eyes closed.",35,-0.418629521616825,,,,
i have to congratulate myself here for being so humble.,28,-0.65884131910839,,,,
"If a dentist makes his money off people with unhealthy teeth, why should I trust a toothpaste that 4 out of 5 dentists recommend?",53,0.199057957647202,,,,
"You weren't an accident, you were a mistake",16,-1.07063297195107,,,,
"I don't believe in subliminal advertising, but I'm really horny for a beer right now.",27,-0.693157290178614,,,,
"There are a certain few smells one absolutely needs to smell in their lifetime. The scent of old library books, for example, is a must.",63,0.542217668349439,,,,
"a farmer was in the field with his cows and counted 196 of them, but when he rounded them up he had 200",117,2.39528010614152,,,,
Does the name Pavlov ring a bell?,72,0.851061407981452,,,,
Atheism is a non-prophet organization.,57,0.336321841928096,,,,
"If you believe in telekinesis, raise my hand.",49,0.061794073366307,,,,
I don't try to be lazy,28,-0.65884131910839,,,,
Programming is like sex: One mistake and you have to support it for the rest of your life.,41,-0.212733695195483,,,,
"They say my grandfather had the heart of a lion, and a lifetime ban from the Brookfield Zoo.",61,0.473585726208991,,,,
Spring must be a lady,28,-0.65884131910839,,,,
Horse whispers are such naysayers,57,0.336321841928096,,,,
"People keep encouraging me to be myself, but that's just not me.",31,-0.555893405897719,,,,
"They say you should live every day of your life like it's the last, but I got really tired of making funeral arrangements.",66,0.64516558156011,,,,
"I was going to make a joke about sodium, but na",27,-0.693157290178614,,,,
"Today's society is more about deleting history, than creating history.",24,-0.796105203389285,,,,
I thought of a great joke about procrastination. I'll tell you it later.,26,-0.727473261248838,,,,
